Datum,Aussentemperatur,Vorlauftemperatur,Rücklauftemperatur,RL-Solltemperatur,Warmwassertemperatur,WW-Solltemperatur,Verdichter 1,Ventilator,2. Wärmeerzeuger,Heizungsumwälzpumpe,Warmwasserpumpe,Zusatzumwälzpumpe,Flanschheizung,Störung
2014/10/26 01:45:04,7.5,26.5,26.6,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:45:34,7.5,26.5,26.5,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:46:02,7.5,26.5,26.5,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:46:32,7.5,26.5,26.5,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:47:01,7.5,26.4,26.5,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:47:31,7.5,26.4,26.5,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:48:01,7.5,26.4,26.5,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:48:29,7.5,26.4,26.5,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:48:59,7.5,26.4,26.4,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:49:28,7.5,26.4,26.4,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:49:58,7.5,26.3,26.4,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:50:28,7.5,26.3,26.4,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:50:58,7.5,26.3,26.4,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:51:28,7.5,26.3,26.4,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:51:58,7.5,26.3,26.4,26.5,40.6,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:52:24,7.5,26.3,26.4,26.5,40.6,46.0,0,0,0,0,1,0,0,0
